id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
AS14.01,6.866666666666666,-0.21428571428571427,0.6666666666666666,0.08902039983139838,116.89938461339032,3,1,8.36268671679198,67.58311782477341,41.97903125,17.023285714285713,,,7.907555555555556,87.15826086956521,21.291333333333334,,21.293235294117647,,7.8,972.0,947.0,0,0,0,0,0,1,0
AS14.01,7.066666666666666,-0.4666666666666667,0.8,0.08346092503030439,155.97931716780167,4,0,8.982056149732621,74.34050746268656,69.29345,16.52246153846154,29.084,,7.825529411764705,88.19098039215686,38.5528,,27.762125,,7.25,972.0,947.0,0,0,0,0,0,0,1
AS14.01,7.285714285714286,-0.42857142857142855,0.8571428571428571,0.08963283988793323,136.68285992451678,4,2,9.101164619164619,53.067646341463416,73.00444444444445,15.026533333333333,29.084,,6.674882352941176,102.85191111111111,38.5528,,22.413521739130434,,7.6,951.0,943.0,1,0,0,0,0,0,0
AS14.01,7.571428571428571,-0.23076923076923078,0.9285714285714286,0.09233978713523613,110.73807391394742,5,2,14.17026273458445,46.273004761904765,57.80209090909091,12.681909090909091,29.084,,8.248866666666666,72.9377619047619,39.4336,,21.990103448275864,,7.4,931.0,939.0,0,1,0,0,0,0,0
AS14.01,7.428571428571429,-0.07692307692307693,0.9285714285714286,0.08980377815443111,83.58543504184827,6,2,15.167296296296296,48.80314893617021,43.25884090909091,7.484090909090909,,,9.7131875,78.63965384615385,22.759333333333334,,18.417853658536586,,7.6,912.0,936.0,0,0,1,0,0,0,0
AS14.01,7.533333333333333,0.07142857142857142,1.0,0.07998543330810158,86.37398213756327,5,0,15.855205607476636,49.105136563876655,37.15424390243903,7.480833333333333,,,9.623941176470588,59.45295,22.759333333333334,,20.977166666666665,,7.6,912.0,938.0,0,0,0,1,0,0,0
AS14.01,7.533333333333333,0.0,1.0,0.06293940971669729,118.43656363378874,4,0,10.083997903563942,53.73031899641577,73.9177375,19.0315,,,8.5931875,68.20120588235294,17.061333333333334,,22.005650793650794,,7.2,912.0,941.0,0,0,0,0,1,0,0
AS14.01,7.466666666666667,-0.13333333333333333,0.9333333333333333,0.06864991365487576,127.12502512380709,4,1,8.053599056603774,56.6734113785558,84.04975384615385,22.641727272727273,,,8.948625,77.75468571428571,19.083333333333332,,22.22228813559322,,7.6,911.0,942.0,0,0,0,0,0,1,0
AS14.01,7.466666666666667,-0.26666666666666666,0.9333333333333333,0.1234768872013815,162.08314150684288,6,5,8.263524934383202,58.32577313432836,91.95373684210526,21.522916666666667,,,9.799,119.4197868852459,22.5105,3.148,19.99904347826087,,7.5,918.0,945.0,0,0,0,0,0,0,1
AS14.01,7.428571428571429,-0.13333333333333333,0.9333333333333333,0.11906845794519515,133.16864772366756,5,5,9.56091961414791,52.69742060085837,91.46436,6.905428571428572,,,55.796952380952376,165.1264642857143,23.221260869565217,3.148,16.45625,,7.6,925.0,947.0,1,0,0,0,0,0,0
