,id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
57,AS14.01,6.7333333333333325,0.07142857142857142,0.6666666666666666,0.0877134485266481,103.07312781470165,10,2,6.156653306613227,57.84225373134328,36.035642857142854,4.347666666666667,72.83847368421051,29.307284090909082,12.056588235294118,82.02143689320388,8.363,26.497983974358974,20.48511111111111,30.386,6.8,977.0,947.0,0,0,0,0,1,0,0
58,AS14.01,6.866666666666666,-0.21428571428571427,0.6666666666666666,0.08902039983139838,116.89938461339031,3,1,8.36268671679198,67.58311782477341,41.97903125,17.023285714285713,72.83847368421051,29.307284090909082,7.9075555555555574,87.1582608695652,21.291333333333334,26.497983974358974,21.29323529411765,30.386,7.8,972.0,947.0,0,0,0,0,0,1,0
59,AS14.01,7.066666666666666,-0.4666666666666667,0.8,0.08346092503030439,155.9793171678017,4,0,8.982056149732621,74.34050746268656,69.29345,16.52246153846154,29.084,29.307284090909082,7.825529411764705,88.19098039215687,38.5528,26.497983974358974,27.762125,30.386,7.25,972.0,947.0,0,0,0,0,0,0,1
60,AS14.01,7.2857142857142865,-0.42857142857142855,0.8571428571428571,0.08963283988793322,136.68285992451678,4,2,9.101164619164619,53.06764634146342,73.00444444444446,15.026533333333333,29.084,29.307284090909082,6.674882352941176,102.85191111111112,38.5528,26.497983974358974,22.413521739130434,30.386,7.6,951.0,943.0,1,0,0,0,0,0,0
61,AS14.01,7.571428571428571,-0.2307692307692308,0.9285714285714286,0.09233978713523612,110.73807391394743,5,2,14.170262734584448,46.27300476190477,57.80209090909091,12.681909090909093,29.084,29.307284090909082,8.248866666666666,72.9377619047619,39.4336,26.497983974358974,21.99010344827586,30.386,7.4,931.0,939.0,0,1,0,0,0,0,0
62,AS14.01,7.428571428571429,-0.07692307692307693,0.9285714285714286,0.08980377815443111,83.58543504184827,6,2,15.167296296296294,48.80314893617022,43.25884090909091,7.4840909090909085,72.83847368421051,29.307284090909082,9.7131875,78.63965384615383,22.75933333333333,26.497983974358974,18.417853658536586,30.386,7.6,912.0,936.0,0,0,1,0,0,0,0
63,AS14.01,7.533333333333332,0.07142857142857142,1.0,0.07998543330810158,86.37398213756326,5,0,15.855205607476634,49.105136563876655,37.154243902439035,7.480833333333332,72.83847368421051,29.307284090909082,9.623941176470588,59.45295,22.75933333333333,26.497983974358974,20.977166666666665,30.386,7.6,912.0,938.0,0,0,0,1,0,0,0
64,AS14.01,7.533333333333332,0.0,1.0,0.06293940971669729,118.43656363378874,4,0,10.083997903563944,53.730318996415775,73.9177375,19.0315,72.83847368421051,29.307284090909082,8.5931875,68.20120588235294,17.061333333333334,26.497983974358974,22.005650793650798,30.386,7.2,912.0,941.0,0,0,0,0,1,0,0
65,AS14.01,7.466666666666668,-0.13333333333333333,0.9333333333333332,0.06864991365487576,127.12502512380709,4,1,8.053599056603774,56.67341137855579,84.04975384615383,22.641727272727273,72.83847368421051,29.307284090909082,8.948625,77.75468571428571,19.08333333333333,26.497983974358974,22.222288135593217,30.386,7.6,911.0,942.0,0,0,0,0,0,1,0
66,AS14.01,7.466666666666668,-0.26666666666666666,0.9333333333333332,0.1234768872013815,162.08314150684288,6,5,8.263524934383202,58.32577313432836,91.95373684210527,21.52291666666667,72.83847368421051,29.307284090909082,9.799,119.41978688524591,22.5105,3.148,19.99904347826087,30.386,7.5,918.0,945.0,0,0,0,0,0,0,1
67,AS14.01,7.428571428571429,-0.13333333333333333,0.9333333333333332,0.11906845794519515,133.16864772366756,5,5,9.56091961414791,52.697420600858365,91.46436,6.905428571428572,72.83847368421051,29.307284090909082,55.79695238095238,165.12646428571432,23.221260869565214,3.148,16.45625,30.386,7.6,925.0,947.0,1,0,0,0,0,0,0
68,AS14.01,7.571428571428571,-0.3333333333333333,0.9333333333333332,0.08797776538921999,150.89816508990413,5,4,11.755369491525427,55.09503977272727,122.46980769230768,37.88615384615385,72.83847368421051,29.307284090909082,55.97490476190475,283.51647058823534,23.53865,3.148,15.434571428571427,30.386,7.0,932.0,948.0,0,1,0,0,0,0,0
69,AS14.01,7.357142857142858,-0.35714285714285715,0.9230769230769232,0.051556314702955464,99.92493442140642,2,0,23.561874626865674,51.71469339622642,94.31004081632652,51.69477777777778,166.6525,29.307284090909082,55.70190476190476,159.04933333333332,20.991,26.497983974358974,18.105680851063827,30.386,7.8,932.0,948.0,0,0,1,0,0,0,0
70,AS14.01,7.466666666666668,-0.5,0.8333333333333334,0.09116167670288353,91.035055548537,3,0,20.072444743935307,45.08445895522389,68.2232641509434,56.01833333333334,166.6525,29.307284090909082,15.72836842105263,116.98336,17.487777777777776,26.497983974358974,19.628782608695648,30.386,8.0,932.0,948.0,0,0,0,1,0,0,0
71,AS14.01,7.6,-0.35714285714285715,0.9166666666666666,0.09695832523930292,79.81825734470405,8,4,17.529516411378555,40.56425260416667,54.00555319148936,33.25737254901961,166.6525,28.098000000000006,14.24657894736842,115.31048936170212,17.487777777777776,26.497983974358974,20.315384615384616,30.386,7.6,944.0,949.0,0,0,0,0,1,0,0
